,review
35,豆瓣影评人不要再吹了，别扯什么主题高度不高度，能不能回归本真，探讨故事好伐？只谈高大上主题不谈电影本身，不就是皇帝的新衣？——所谓“看不出来这种高大上主题的观众都是没看懂。”的言论真TM烦。……吐槽完评论，吐槽一下电影，大场面疯狂乱堆，预算唰唰地燃烧，结果人物扁平，故事简单，情感空洞？相比较哪吒那简陋中透露出来的用心，姜子牙简直就是金玉其表，败絮其里。我很担心之前努力过的国漫作者们最后换来的仍然是资本介入后的“国漫”泡沫——用越来越多的钱却越拍越忘本。
36,最致命问题，不在闯过一个又一个中国各大影视公司片头LOGO招牌制作现场的副本，也不是姜子牙以喊口号开挂战斗，毫无团队配合理念。他的反抗，最终请来了又一个师父。我确信有不少人真被那些口号打动，可是有更多扣分项目。你最先看到的3D效果是字幕，而不是片头LOGO。正如你看到姜子牙在红色夕阳海边奔跑，手不晃心不跳呼吸不乱。正如片尾彩蛋，最终起到了让你更快忘记原故事的作用——或者本来也无关故事只有口号。有人说，看个片子开开心嘛，不要在意这些细节，问题是已经崛起的中国动画，不是更应该在意细节嘛。动画可是彻底从无到有，纯粹到不能再精密的一项工作。再说了，这个害我在残念姜子牙到底要走多少步天梯的悬浮故事，真有让你开心到么……或者只是，别人替你做了个深度思考状。
37,豆瓣影评人不要再吹了，别扯什么主题高度不高度，能不能回归本真，探讨故事好伐？只谈高大上主题不谈电影本身，不就是皇帝的新衣？——所谓“看不出来这种高大上主题的观众都是没看懂。”的言论真TM烦。……吐槽完评论，吐槽一下电影，大场面疯狂乱堆，预算唰唰地燃烧，结果人物扁平，故事简单，情感空洞？相比较哪吒那简陋中透露出来的用心，姜子牙简直就是金玉其表，败絮其里。我很担心之前努力过的国漫作者们最后换来的仍然是资本介入后的“国漫”泡沫——用越来越多的钱却越拍越忘本。
38,最致命问题，不在闯过一个又一个中国各大影视公司片头LOGO招牌制作现场的副本，也不是姜子牙以喊口号开挂战斗，毫无团队配合理念。他的反抗，最终请来了又一个师父。我确信有不少人真被那些口号打动，可是有更多扣分项目。你最先看到的3D效果是字幕，而不是片头LOGO。正如你看到姜子牙在红色夕阳海边奔跑，手不晃心不跳呼吸不乱。正如片尾彩蛋，最终起到了让你更快忘记原故事的作用——或者本来也无关故事只有口号。有人说，看个片子开开心嘛，不要在意这些细节，问题是已经崛起的中国动画，不是更应该在意细节嘛。动画可是彻底从无到有，纯粹到不能再精密的一项工作。再说了，这个害我在残念姜子牙到底要走多少步天梯的悬浮故事，真有让你开心到么……或者只是，别人替你做了个深度思考状。
39,特效很棒，剧情很烂。
40,无端的悲悯，无因的博爱，无果的殉道，唐三藏后就再没见过这么假大空的角色了。
41,这部电影存在的意义就是不断地展示作者的脑洞。申公豹为姜子牙开天梯，姜子牙说会这样你的修行就白费了，但是这个flag回收了吗？没有，随后申公豹这个角色直接没了。这样有始无终的flag太多了。一个又一个奇观场景才是串联起影片的内在动力，至于情绪啊、逻辑啊，这些东西能吃吗？
42,技术的积累，并不能掩盖思想的荒芜。国漫崛起和华为手机一样，“洋装依然穿在身，你芯也依然不是中国芯”，都是自撸自摸的假高潮。道阻且长，要继续向张艺兴学习啊，努力努力再努力！
43,"幼稚，青涩，空洞，虚浮，无叙事技巧，无节奏。
动画制作和美术不错。"
44,剧情也太一言难尽了，失望
45,九尾戏太少，剧本烂，动画也一般，强行3d不可。
46,FBI特工卷入国际阴谋，幕后黑手竟是美国总统这种套路已经很烂俗了咯；而美术上的设计也只能说是看得过眼，几乎谈不上风格化以及由风格化带来的对剧作本身的加成亦或弥补。
47,"当微博上都在夸一部电影的时候，那它肯定有问题定律。从审美到故事，姜子牙都完全配不上“脸面”，一边扬我国威瞧不上洋皮的刻板印象和国外价值观，另一边画着失真的东方脸还嚼着人家剩下的内核沾沾自喜。
PS：国漫要崛起的第一步，先要改掉谈情怀和炒营销的臭毛病"
48,好家伙短评里又一水的国漫崛起。动作戏怎么那么爱快剪加大特写啊，台词怎么那么玛丽苏啊，说了半天的隐情，逻辑也根本说不通啊，别为了讽刺而讽刺好吧？女主真的太李元芳了，感觉下一秒就要扔出个大转盘，我一直等九尾能画成个美女，结果从始至终都跟无脸男似的
49,面子上装的比哪吒高级，实际比妙先生还要空洞。整部片子拍出来的东西就像一个笑话，所有的人物动机东一榔头西一棒子的交代，从来不是人物推动剧情，永远是剧情赶着走，把所有人的行为逻辑搞得变化莫测，一个比一个看着像是有病。整部片子看起来就是一盘散沙，所有的剧情点都是硬拼在一起，想要做的东西巨多无比，做好的东西一个没有，全片看下来完全不知道核心主旨在于何，不知所云。视觉呈现上，冤魂段落看到了创意所在，但是其它部分一无是处，所有场景没有任何细节可言，一切背景粗糙处理，劣质，塑料感溢满屏幕，缺乏创意的同时又极其不认真，连人物建模都是敷衍了事，没有一个有特征有记忆点的角色建模，古板，老套，陈腐，潦草，布满了全片。这么一群纸片人设的东西和哪吒共处一个宇宙，还能再可笑一点吗？
50,美术，强。故事，烂。
51,姜子牙从一开始就一副身上压着整个天下苍生、心里缠着忧思愁绪的样子着实会让观众都替他累。国漫也越来越按套路出牌了：大场面高概念深思想，一搞就是宇宙洪荒宿命天伦。
52,这三界大战怕不是师尊亲自指…
53,画面太游戏化了，镜头零碎交叠，人物单薄，情节模糊，主题是哪个，救苍生or救一人的辩题也没说明白，师尊突然黑化又突然落败，3D毫无必要，唯一出彩的竟然是友情彩蛋。。可能制作团队的信息技术不错，语文不及格吧
54,年度迷惑事件 我看懂了信条却看不懂姜子牙 整体看下来 意思是这个意思 但是事不是这么个事啊
55,"不知道为什么，我觉得静虚宫说斩善很有道理，舍一人就苍生，姜子牙太圣母了，不懂为什么要为了救一个人，放弃那么多，哪怕搭上性命
还有他们师尊那么厉害，为毛不直接杀了九尾，迷惑，还死了那么多人
但是我觉得师尊利用狐族一统三界有点恶心
整个故事不知道要表达什么，画面很壮观，内容很空洞，主题不明确
我真是服了姜子牙，九尾都说了师尊做了不好的事，他还是只关注小九，感情这主题就是救一个人，其他都不管
我没看过这么不引人入胜的电影，真的好无聊，时刻想走"
56,我裂开了这节奏感……太早了，还是晚几年再拍这一部，就是真的史诗大作了。不是技术上的“再等几年”，而是节奏上的，故事讲不清楚，是剧本工业化不成熟……在套公式，却套不熟练……
57,从内容来说，是成人向的，从画面来说，也没有拍给小孩儿看的意思，所以，场里的儿童纷纷主动离场，特别理解。谁让中国电影没有分级制呢，上个动画片，家长就以为是给小孩看的。姜子牙很像那种男人中年危机的故事，浑浑噩噩活着，怀疑人生意义，然后出现了一个女儿（元神），最重要的是，她居然需要拯救！嘿，可来劲了。最后把天庭都砸了，以为看的是《西游记》呢。然后返璞归真，舒服了。狐妖很适合找FBB来配音，感觉可以借她那故事讽刺一下什么。画面没什么好说的，不美，特效也不牛，不如RPG游戏。不过后段几个简约的、具有哲学意义的构图很好看。以女权主义的视角看，少女大叔CP、妖魔化欲女，及捆绑少女等情节，都是“厌女症”。and 少女、妓女、圣母三位一体，又一次将男人的幻想赤裸裸地展现了出来。IMAX（彩蛋生动有趣，至少不装
58,申公豹舍命救子牙，姜子牙舍命救妲己，全乱套了。
59,连续三年，每年我都会去影院，支持一部当时热映的国产动画电影。你能够感受到，电影特效在工业技术上，得到肉眼可见的提升，只是观影体验却一次比一次可惜。我不否认，国内工业技术逐渐接轨国际水准，只是你若只学到好莱坞式动画美学的皮囊与皮毛，从头至尾，都用视觉幻术，来掩盖内核的言之无物，这种商业把戏，能够对得起你们高举的国漫崛起的大旗吗？
60,设定不是不能改，但能不能别瞎改，或者不会自己另起炉灶吗，非可着封神演义祸祸。姜子牙和妲己就算了，申公豹怎么就好兄弟了，元始天尊和12金仙又犯了什么错被这么编排，给神仙们留个好名声吧！
61,令人遗憾的是，现代人早已失去了与传统对话的能力。现代人只关心自个儿的心事，只编自个儿想看的神话。现代人都有什么样的心事呢？我是谁？从哪来？到哪去？真是灵魂拷问。现代人都喜欢什么样的神话呢？草根变神仙，凡人成英雄。显然，从「静虚宫」来，到「静虚宫」去的《姜子牙》是一个典型的现代人，说得具体一点，就是一个在狐妖体内发现无辜怨魂的文艺青年。看到有评论说，这是将传统文化融入现代语境。反了反了，这是将庸人自扰栽赃给了先贤，这是把人之罪过嫁祸给了幻术，这是把现代瘟疫传染给了远古。你去细看，影片里哪一点是传统文化？不过是又不传统又不现代的「四不像」罢了。看到有评论说，这姜子牙变耶稣了。别说，还真被说中了。现代人有几个能成耶稣？耶稣穿过荒原走向十字架时，轻声说：成了。现代人有谁有胆？都是嘴炮口号，说说而已。
62,嗨，国漫终究还是停留在模仿，堆砌，强行剧情强行乱搬的水平，不敢创新，不肯突破永远不会进步
63,看似很燃，剧情真的烂。编剧导演自我感动，很像郭敬明的笔法。
64,莫名其妙的人物，莫名其妙的剧情，莫名其妙的冲突，莫名其妙的结局，到处都是工具人，为了煽情而服务，姜子牙如果换成哪吒，悟空，这个动画都可以继续演下去，我就想问一句，是不是国产动画除了与天斗之外就找不到题材了？姜子牙可以发挥的空间那么大，曹尼玛的就偏偏要跟悟空一样的与天斗，我服了，真的
65,不是？就这价值观有啥可吹的？摧毁了一个权力体系又构建一个权力体系？抛弃了一个绝对反面又书写了一个绝对反面？自相矛盾么这不是？纯属啥也没想明白。当然电影本体的问题更大，一通瞎吼，一通瞎打。更别说故事原型、叙事策略、视觉美学哪怕3D设计都太成问题；又臭又长。彩条屋真是以一己之力覆没了整个“国产动画崛起”，想想当年的大护法，现在真是整个走歪路上了。可别再说什么“东方”“中国”，我呸呸呸。。
66,彩蛋比正片好看
67,"延续了这几年国漫的特色——不讲人物与情节，强力突出场面。于是创作者陶醉在一个个看似有着“崇高情结”的场面里不能自拔，把一个本可以展开很多层次的悲剧内核用场面连连看的方式肢解的空洞至极，人物与世界观充满矛盾，小九的每一句和行动我都要画一个大大的问号。姜子牙在理念和情感上完全没有支点和对立方。妖狐揭穿师尊的真面目后对姜子牙也没啥影响，他还是要去拉小九的手搞死妖狐，然后上天喊一嗓子把路给震塌了。怎么的，这条路是仙界致富路吗，塌了完不成小康指标？不搞师尊也就罢了，最后师尊特么的连个老大都不是，老大还是明察秋毫责罚了师尊，转脸就把姜子牙搞到监狱了，行，我服。
不过彩蛋忠诚度还是很高，哪吒一家还是一家没素质的傻逼。"
68,“用自己的方式成为自己的神”“我命由我不由天”这种台词太让人尴尬了
69,经费和精力全放在皮毛上，内里败絮其中，像用脚写的剧本，关键是你这皮毛也没多精雕细琢啊，要奇观没有奇观，想象力极度欠缺，还不如玩一盘战神过瘾。
70,这片子没有一个人物是成立的（指猫为狗罪不可赦！）口号主题就算了吧。这玩意跟封神宇宙一毛钱关系都没有，顶着东方神话谱系的名，一点东方神怪精髓都木有，骨片风铃和耶稣大爷走好不送。另外虽然美术精良但我觉得半点东方神韵都没有。
71,全剧就一个彩蛋好看，我真的无语了，50块钱买个彩蛋看
72,看着很新其实很旧，最后在更高领导的支持下打败了普通领导的伪叛逆故事
73,无聊到根本不想去深究。
74,诺兰在反人类的“Tenet”中展现出他的技术霸权主义倾向。这种机械性的思维首先体现在他对时间的天真理解上。自柏格森以来我们就知道，空间化了的时间并不是真正的时间，而诺兰似乎只知道用逆转了的动作来展现时间的倒流，他大力打造的特效运动于是实则取消了电影的每一丝时间性。二是他机械性地拼凑着他的叙事体，却对叙述这一最为时间性的动作视若无睹。只顾填鸭式地甩出一个个细节性的名词，却连基本的叙事原则都完全放弃。这也正是他第三个机械性的地方：无论这一套时空规则在物理学上看上去有多么精致，在时间与人类交接的哲学问题上他却较以往更加苍白。时间颠倒而产生的逻辑问题以及因果倒置后对顺时生活的人类有什么影响，他丝毫不感兴趣。这一切不由得让我祈祷，有朝一日科学家真的研究出颠倒时空的技术之后，坐在按钮后面的千万不要是诺兰本人
75,我不配给这个电影打分 真的 我连影评也没看懂
76,时间逆行的概念本身不新，烧脑的是不讲人话的表达方式。诺兰为了炫技牺牲了故事和人物，观影体验非常差。老套的拯救世界的故事，但没有一个角色有足够的驱动力，都只是在模板化地跑剧情，唯一动机有说服力的竟然还是反派。本质动作片，可动作戏不太行，混音太吵，节奏也很闷，没有转折和高潮，两个半小时很疲惫，一直在看表。一刷能大致懂诺兰的叙事目的，我也相信他的故事一定能逻辑自洽，N刷可以理清时间线和细节，但一刷的观影快感太低了，完全支撑不起我N刷的欲望。个人来说，我觉得是诺兰电影里拍得最差的一部。
77,就，毕生致力于全民物理通识教育事业的科普作家刘慈欣老师都写不出这样毫无感染力的故事来。
78,疲了
79,不好看。不喜欢。诺兰似乎抛弃了自己的“传统美德”，即在构建精密的结构之余，让观众能够充分理解；而却放大了自己的弱项，堆砌冗长且粗野的动作戏。情感内核其实跟所有涉及时间旅行的电影并无二致，只是冒进的节奏和聒噪的配乐没有给到任何喘息的空间。撑过整整前半部，才看到一点点正逆向对决的惊喜，哪还有心气和脑力去钻研每一处细节。——一个事实是，没有什么电影必须看第二遍，诺兰的作品也不例外。诚然，卢米埃尔的《拆墙》(1896)之后，《信条》就不再有令人惊奇的理由。
80,《电影手册》回顾过去十年的电影总结说电影行业像如同驶入夜色的列车那样有种隐灭之感，在这半年的疫情冲击下，这列车也从绿皮变高铁。万众期待着诺兰能够刹住这一远去的列车，但可惜反成了加速师。在影院里的视听感受不如《1917》，能夸的就只剩口中的烧脑了，但以烧脑来夸赞一部电影，就好像美女科学家这个称呼一样，纯粹是客套话了（甚至是骂人）。想烧脑可以多做数学题，小学奥数应该就够了。观众的反应让我想起《皇帝的新衣》
81,纯高概念游戏电影，甚至连电影都算不上，就是游戏。烧脑的部分是游戏规则，你可以说这款游戏的规则设定很厉害，掌握了、洞悉了以后看这帮人折腾来折腾去挺爽。但这和一部电影好坏真的一毛钱关系都没有。
82,即使在诺兰自己的作品里也可以称的上是最蠢了。想想雷乃和罗伯格里耶如何在60年前的马里安巴德以轻盈飘逸的姿态在同一个空间里于过去、现在和未来之间往复无痕穿梭，所谓的“信条”真是笨得像铁杵绣花。在“时间-影像”的最后一章德勒兹认为只有反吸引力和非信息化的电影才能在未来生存下去。从这个角度看，一向标榜自己爱电影胶片的诺兰是在用脱轨的吸引力奇观和狂乱堆积的信息为电影掘了一个自我毁灭的大坑。无限趋近于零蛋的两个小时观影体验。
83,70mm @DP w/ 草草 echo jakob 如果能通过所谓的逆时间线阻止诺兰拍出这部片，那就还挺好的。（看啃泥顶着一张神似韦恩斯坦的脸pua老婆真的physically repulsed
84,优越感满满的装逼惯犯。好莱坞最被overrated的导演没有之一。
85,不管看懂多少，反正不想看第二遍，能看完一遍都需要点耐心
86,除了经常把自己的电影神秘化（去时间性）之外，诺兰也是被影迷严重神秘化了的一位的导演。讽刺的是，他大热大卖的几部作品在叙事结构上完全没有秘密可言。在看《杀戮》的时候就在想，这不就是《盗梦空间》吗？从《致命魔术》开始，其中包括《星际穿越》和《敦刻尔克》以及《信条》在内，诺兰就一直在模仿但从未超越库布里克的偷盗故事模式：游戏开始——介绍规则——布置任务——招兵买马——执行任务——完成任务——游戏结束。因此，可以说他的电影本质上是披着科幻外衣的黑色电影：一切都是白折腾。然而诺兰却总喜欢让他的主角以为自己最终赚到了什么，于是观众也如那枚陀螺一样，在这样的套路里永恒转了下去。对比大师，就知道诺兰距离大师有多遥远。去看看《杀戮》的结尾，那才叫真正的时空逆转。
87,"就不说角色写的有多无语了（特别是反派），台词居然能写出""cold war, cold as ICE""、""if I can't have you then nobody else can""等等这种令人笑喷级别的对白，你说是汤米威叟写的我都信。同时，在人物与情感编写缩水后毫无疑问放大了视觉上面的奇观呈现，这也显现出很严重的问题：本片视觉奇观呈现效果其实很低。除去一贯诺兰的往大做外，这次很大主要建立在于时空倒转后的“倒放”，当然单纯的倒放并不能带来太大的奇观性质，所以设计了不少正逆时间同画面的场面，并且还为这些段落进行了不少的训练以及编排。然而诺兰一贯糟糕的动作戏把控设计，加上这次凌乱的剪辑，直接让呈现出来的效果一团糟，很多镜头根本没有让观众来得及去仔细辨别一正一反同屏的效果就直接跳过，让现场编排的动作彻底白费，奇观性质的呈现效果大幅度削弱……"
88,就是《东成西就》“三花聚顶”的高概念演绎，之后在自由意志不可逆的前提下做的一个规定命题。叙事碎片化，更适合写成小说而不是影视化改编，高密度强制性向观众上课的心理，就是解释性的内容太密太直白，全都是说明书，缺少电影的造梦感和应有的戏剧张力。
89,妈呀，也太烂了吧，一具玩弄华丽高概念而失去灵魂的躯壳，即使铺满打鸡血般的音乐，动作场面也像菜鸡互啄一样毫无波澜，文戏也空洞得可怕，男主和女主的感情莫名其妙毫无化学反应，反派弱的一批又爱加戏，基本就是诺兰所有缺点集大成之作。
90,？这还怎么继续吹？就这么喜欢承认自己智商低而不觉得是诺兰叙事真的有问题？全程看得我莫名其妙，一堆高大上的术语怼在脸上，一句话还来不及消化就紧接着下一句，游戏升级通关做任务一样，场景地点蹭蹭蹭地换，最后那一场大战真是看得我没耐心了，不断重复毫无意义的打斗画面，一堆人抽风一样倒着走，在很长一段时间内，这些画面除了炫酷拽之外，没有对叙事产生任何作用。这样的电影，既不会看的当下让我觉得“爽”，也不会让我在看完后有回味的欲望，过程中我几乎半个小时就看一次表，到最后五分钟一次，没有中途离开我真的已经尽力了…
91,新瓶裝舊酒。本該高概念的高光卻徹底沿用舊科幻的舊敘事法，致使視覺表達樣樣都成陳腔──子彈逆行看上去不過是一顆地雷、滑翔傘逆行看上去不過是一套噴射背包、時間逆行看上去不過是另一臺TARDIS、汽車逆行看上去是……不對，就是單純的倒車（這幕蠢斃了）。而且所有人講話都在打啞謎是怎麼回事？是企圖用晦澀感給觀眾虛構出不存在的深刻，亦或只是諾大導演在彌補自己當年沒拍成謎語人的遺憾？
92,就没看过这么稀烂的时间类科幻片。宣传说烧脑，大概是一边看一边尝试让这电影逻辑自洽会烧吧。但我放弃思考后，尝试感受，但在世界毁灭阴影下所有人无动于衷，只有一个尝试杀夫的妻子的愤怒，因为她无法和自己的儿子在一起，她也一点不担心自己儿子要面对的将毁灭的世界。有史以来最毫无人性波澜也没有情节波澜的世界毁灭故事，全场带给我最多体感的是4G厅的座椅，完场后全身酸痛。
93,        我不是《盗墓空间》的粉丝，看这部诺兰导演并不成功的新作，更是一头雾水，完全入不了戏。豆瓣上看了许多多刷观众的解析才明白了些内容。听说在国内市场上票房还有4.5亿，说明它还是有受众的。但我是很失望！
94,太奇怪的观影体验。诺兰真的走火入魔了，这些年他把前沿物理的那些概念挨个编了个故事，但这回编的已经和故事和人物没有什么关系了，他就是想展示一下他给大家准备的新把式。同行的老梁睡得非常香，像在床边摆了一本物理书。
95,烧什么脑？设定全都糊过去了，当然烧脑。
96,"女性刻板印象（被劫持，提前开枪，一直给主角制造麻烦的无脑美女妈妈),各种中二病男人（身患癌症要全世界陪着去死的丈夫，莫名其妙爱上并不熟悉的美女并为了她把皮箱送出去，又为了她不断在过去和未来穿梭），为了陪衬大场面而存在的各种工具人以及炮灰……一个毫无说服力，毫无感染力故事，加上所谓脑洞，制造了2020疫情中最大的营销案件。"
97,"这部电影在任何层面上都没有值得讨论的地方。另外，都厉害到让时空逆转了，胰腺癌这种医学大难题还没得到解决，那这几十年都在忙啥呢？？？
越想越气！看完之后不记得这部电影任何画面，倒着走算吗？《东成西就》刘嘉玲的三花聚顶也倒着走啊！而且这拍得太“笨”了，尤其后50分钟倒很热闹，反正诺兰最擅长的就是制造“笨重的热闹”，别的好像也不会了。"
