,review
22,在豆瓣标记的第1900部电影赶上了一战封神的姜子牙。对我而言，本片是一部画面胜过故事的电影，再加上3D，所以激光IMAX是呈现本片的最佳打开方式，在视觉特效、美术设计、动作指导等方面都有较高的完成度。而故事层面很多人在讨论传达的个人主义价值观，并同家乡的集体主义构成对比。我反而更加主义的是导演拿小九作为苍生的代言人，我觉得不是太成立，拯救苍生是本片的slogan，然而全片不见苍生只见小九，从逻辑上来说我觉得不是很通顺。另外元始天尊利用九尾狐精的重要情节也几乎用旁白在讲，且讲得也不算很清楚。虽然套着封神演义的外壳，然而完全是原创的故事，因为电影一开始封神榜都已经结束了，申公豹也不再是死敌反而舍己为人了。相当于是封神演义后传。
23,完成度比《哪吒》好很多，画面精美，3D效果很棒，但故事简陋。救1人还是救5人的电车难题，由于姜子牙过于思虑，格局小到只见儿女情长，不见所谓苍生。剧情简单，造成感情表达像无病呻吟，极端的浪漫和至善显得矫揉造作。崩在“啃老”，而且啃的是西方神话的内核，中国古典故事的创造力毫无长进，只限于角色和画面。
24,虽然没有了哪吒中的各种刻板印象和无趣笑料，但《姜子牙》仍然显得乏力不堪，影片中动机最明确的人物只有狐妖，编剧甚至不屑于对姜子牙和小九进行真正意义上的人物研究，这也使观众和主要人物之间的共情几乎没有可能完成，四不相死去时的凄美配乐也只能让人感到尴尬。对dictator和genocide的隐喻让人振奋，但当它说出“师父的师父是师尊”时，我苦苦盼着下一句是“师尊的师父是苍生”，结果它竟然说天上还有个师祖，这让影片好不容易迸发出来的政治批判性瞬间变得苍白无力；如果说师尊象征着可见的权力，那么宣称为苍生斩除权力之恶的姜子牙仍被那只看不见的手操控着，所谓的底层立场和个体反叛最终仍是对科层制合法性的默认。中国动画还有很长的路要走，并且和其它电影一样，这条路上的障碍从不仅仅是技术落后或缺乏有创意的编导。
25,《子牙仍未知道那年夏天师尊做了什么》
26,没有封神宇宙，没有诸神之战，有的是姜子牙一战封神之后的奥德赛。一战封神是片头2D简略交待，之后是漫长乏味的流放之旅。内心的信念与外在的牵引交织，孰正孰邪，一人与苍生，孰轻孰重。貌似有着宏大的主题，但是宏大用更宏大化解就撑不住了，或者说崩了，一边想接地气，一边更虚无缥缈，完全够不着了。片子视觉效果确实不错，精细但不至于震撼。全片都比较阴郁、压抑、慢节奏，从人物内心到画面效果，有些设计还有些诡异，所以不建议带孩子看。
27,开场有被唬到，整体比《哪吒》好，比《哪吒》对原著进行更加大刀阔斧的改动，人妖神被重新定义，与现实联系，这种改动又非儿戏似的，而是严肃认真的，并实施在细节上的：天神群像的铁面与狐妖破碎的假面。看到快结束的时候，我在想难道国产动画电影和国产真人电影是两套不同的审查体系吗？以《夺冠》为代表的真人电影在表达个人体制对抗时总是频频受阻，而动画电影可以完成这套表达，直到看到最后“天外有天”才明白真人电影片尾那套拨乱反正的字幕在这里视觉化呈现罢了。
28,"3.5
勉强三星半，算是低开高走。相比哪吒而言抛弃了较多娱乐性，选择了些许作者性(个人感觉，可能存在），更面向于成人化的一方世界。关于个人/苍生的抉择命题表现太过于直白，深度也非常浅(也可能是我在姜子牙之前刚看了生命之树？）。当然哪吒的“拒绝角色脸谱刻板化”在姜子牙这里得到某种程度上的高质延续。叙事节奏上些许欠妥，口号性台词感还是过于浓烈。一方面来说，有抛弃低俗之优，另一方面来说，又有步入自我意淫之嫌，批判力度不足大概也与审查脱不了干系。至于煽情，我一向持反对(除了吴念真），对于姜子牙，我也只能说有点尴尬。PS我可能脑子抽了，居然感觉和马利克有连线？(一定是我刚刚看了生命之树！）"
29,美工和特效可以，剧情、节奏和人物塑造真的不太行……
30,十元结婚了，难过到在影院暴哭，我的青春结束了。
31,三星半。看的IMAX，之前挺期待的，看完比较失望：画面可以给4.5星，精致细腻，宏大有气势，美术设计水准很高；立意很高，从“救一人与救苍生”到“撕下神灵假面”，比《哪吒》有深度。然而，剧本很差！只能说勉强成立，几乎毁了精致的制作和主题呈现。除了姜子牙其他角色都很浅表，师尊面目模糊，申公豹一根筋（既然是自己偷偷下凡的，为何开始要以看守的身份对待姜子牙？），小九这个角色更是跟主题几乎无关，完全可以大量删减戏份，作为配角出现，现在浪费了大量剧情却无助于主题表达和姜子牙的塑造。很多设定没讲清楚，比如师尊为什么要给九尾那个锁？转世的玩意儿怎么就成了九尾召唤冤魂的工具，她之前有打算吗？故事缺乏张力和冲突，一路走一路打；搞笑和煽情都比较刻意；结尾忽然出来个师祖，几句画外音就把始作俑者师尊给处理了，过于草
32,彩条屋的动画工艺出类拔萃，完全不输好莱坞，线条流畅自如，色彩运用登峰造极，想象力也开出了花，这部电影在技术表现力上只增不减，但在文本打磨上就差强人意，对“封神”姜子牙的故事进行了重新的解构，点出了一人不救何以救苍生，个体与权利阴谋的对抗议题等等，还着重展现角色内心的拉锯与现实的混沌的相互制约，也算是姜子牙筑成仙道的公路救赎片，但是整个剧本的脉络和梳理，依靠于大量苍白的对话为引，叙事纹理倾向平庸的流水堆叠，姜子牙和小九也没烘托出人物之间的关系火花，各有执念各有意图，所以完全没有“哪吒”里那火热的使命感和剪不断的情缘来的荡气回肠又感天动地，不过是各自成全的公路情谊罢了，剧作结构效仿好莱坞，文本是小学生作文水平，技术是国内顶级流量，想象力是无限极的光，还可以继续期待彩条屋下一部巨作《深海》★★★☆
33,如果这就是中国动画的财富密码，以后都不会再看了。
34,彩蛋比正片好看。现在这些国产动漫都是什么毛病呢？伪劣3D就不说了，最后必定是一场撼天动地级别的奇观性战斗（《大鱼海棠》《大圣归来》《魔童降世》），一到这种时刻就开始不讲道理，各种矛盾，情节的、人物的、主题的，全都随着情绪和视觉的高潮一并消去，用非逻辑的影像空间解释逻辑，总是很顺拐。以及，我们除了神话故事真的就做不出其它题材的动画了吗？
35,作为商业片倒也没有那么糟，视觉OK，该有的场面都有。剧情其实立意不错，但问题是整体的节奏安排只服务于最后的悬念，却没有用人物个性去推动，所以拨开外壳就是一些描写空洞的牺牲、阴谋、拯救之类的东西，看起来有深度其实很俗气。继续加油吧。
36,"1.剧本太一般，几个人物之间的感情没写到他们生离死别之时表现出来的那么好；
2.为什么现在离婚率这么高？原来是因为纣王死了；
3.姜子牙，无政府主义倡导者。"
37,姜摩西出北海记。忠犬小四、忠豹申公各值一星，美工值一星。
38,全片最惊艳的是开头二维动画，通过3D的形式对二维动画进行了分层和拼贴处理，极具特色，可以说是最不向大众品味妥协的风格傲骨，其次是结尾贴片的《深海》，无论是画风还是制作都完爆《姜子牙》，而且是原创IP，田晓鹏冲鸭！说回影片本身，剧本略土，作为公路片无论是人物转变还是情感处理都太过于草率，过渡衔接过于生硬，制作方面比不上《哪吒》，渲染方式主要是大的色块组合，太像游戏了，环境这么渲染没问题，但人物也这样就显得塑料感十足，皮肤纹理不足，毛发过于粗糙，根本经不住巨幕的考验，及格都勉强。制作短板还表现在文戏长，武戏短，动作分镜快而不流畅，再加上环境普遍较暗整体细节缺失，动作就显得藏拙，全靠光影粒子嗖嗖嗖。另外，感觉整个片子的基调都不对劲，过于苦大仇深，配乐史诗感但缺乏起伏，一个人的故事就不要搞史诗啊喂！
39,"意识形态的诉求强烈，甚至可以说很直白了。以一个人的名义？还是以人民的名义？什么是最好的安排？姜子牙成了启蒙的化身，以不明白为起点。
可惜人物动机不足，几个主要人物关系也没有提供足够的动力，总体上显得单薄。
类型上杂糅了公路片，西部片等，也想兼顾喜剧和正剧，但想的太多，说理比较多，最终难以平衡。"
40,这个子牙不太冷。扬了长却避不了短，故事讲不明白技术再好也是空中楼阁，无法共情。以为学哪吒最后变个身燃个小宇宙就OK了吗，哪吒的成功可不是随随便便的，层层的情节铺垫和丰富的人物关系在这全看不到。本片的最大亮点居然是《深海》，这也太尴尬了。
41,6.9 锁到底用来干嘛的？姜子牙怎么突然变厉害了？天梯断了为什么世界就变好了？最后几分钟和喂屎一样，不过也挺真实的，这天外之天，神外之神基本上屁都没做。
42,编剧似乎就把看过的所有中二台词都塞进这部作品里，人物仅仅是把这些台词说出口的工具，于是无论是人物形象、行为动机还是情感连接都苍白无力，戏剧冲突都是硬设定的结果而非自人物而生的自然发展。剧本上的无力是国产动画的一贯硬伤，但这部《姜子牙》和之前的《哪吒》所呈现出来的让人不安之处在于，表面看似对权威的反抗，但内核其实都是对权威的拥抱。最后结局中只在言语中出现的那位“师祖”，彰显了主创小心翼翼的逢迎上意。作恶的只是中层的“一小撮别有用心的人”，上面的上面那位，还是好的，圣明的，那位最后的出现就像赐给了“钦差大臣”姜子牙“尚方宝剑”，不是颠覆了权威，恰恰是为权威正名。要我说，《姜子牙》才是今年国庆档的最强献礼片。
43,"马丁·西科塞斯《出租车司机》
琳恩·拉姆塞《你从未在此》
吕克·贝松《这个杀手不太冷》"
44,高开低走，人设动机不明，逻辑条理不清晰，中间一大段戏份昏昏欲睡。
45,莫名又臭又长，磨磨唧唧……美术设定加成。
46,姜子牙最后还是没有成功反权威啊
47,狄大人，下个月的工资评定，请对妲己温柔一点。
48,对于「电车难题」，姜子牙提出了一个很有价值的反思，为何存在这种困境，为何我们始终无法摆脱二元对立的思维局限——在这点上，结尾处不再被任何身份所圈定的姜子牙迈出了很多电影无法迈出的一步，他没有一味地归顺，而是对整个历史和世界结构做出了反思和行动。但同时，电影仍然默认的一点是，两个选项带来的后果一定是幸福或不幸的，这就又回到了问题本身，即否定了姜子牙作为一个具有代表性的反叛人物的一次部分成功的革命，瓦解困境、逆天而行之后，姜子牙仍然受制于更高的权威，所谓标准，就像肉身被毁元神遁逃的九尾，并没有被打破，反而更忠诚地被捍卫了。
49,不被界定的他者质疑极权统治的点子在现有环境里真是大胆，可惜对角色情感、立场的探讨流于表面且模糊处理，常常音乐已经用力在煽了，但是情景却完全跟不上，形成了高不成低不就的样子。
50,故事跟不上情绪，情绪跟不上特效。比起大圣和哪吒，姜子牙其实在故事上更具野心，但可惜创作团队本身对这个主题没有足够深刻的认知和理解，导致全片核心像喊口号，却没有足够符合逻辑的人物以及剧情去支撑，以至于既无法讨好小朋友（结束后有个妈妈问孩子好看吗，俩女孩异口同声“不好看”），又无法满足成人（左右两边都几乎看睡着），全场唯一同时在线只有彩蛋出来的那一刻。P.S.视觉效果是真的好。
51,看完电影出来下楼差点走了上行的电梯🙃
52,诺兰的信条，就像李安的双子杀手，亲手拍出自己导演最不好看的电影。一个纯粹用台词堆砌起来的故事，如果消音，观众能够得到的信息量几乎为零。这点在盗梦空间当年上映之后就一直被业界批评，看来诺兰是听都不想听，还把缺点放更大了。所谓的七国取景，全是些家门口就能找到的地方；所谓阻止第三次世界大战，看起来也像普通间谍事件般小打小闹。因为保密演员无法阅读完整剧本，以致许多人表演时只是单纯念台词，自己也不明白到底什么意思。
53,。己自了估高也，众观了估高兰诺
54,150分钟的电影，前面至少120分钟都挺无聊且沉闷的。不要因为是诺兰，就豪吹，跟看不看得懂没有任何关系，电影不好看就是不好看。埋再多的所谓“暗叙事”、玩再多的结构与技巧，也依旧不好看。在我看来，呈现出来的效果，跟李安的《双子杀手》几乎一样。人物都是工具人，看上去不明则厉，实则无趣。影片全程去掉配音，试试看，你就知道有多失望。
55,愈发能感觉出诺兰是一个很自恋的导演，且时刻散发着优越感（没错，他狮子座，这导致他掉进了自己的逻辑怪圈无法自拔。他不是用多好的故事征服你，而是用自己超凡脱俗的逻辑能力绕晕你，甚至让我萌生出被他踩在脚下的压迫感。他之前的几部同类型“烧脑”片其实还有所收敛，这一部就有点放飞自我了，通俗地说，对我等凡夫俗子太不友好了。是的，他的逻辑能力满分，我很佩服且自愧不如，但是我没办法从中感受到看电影的乐趣了，而是倍感折磨，因为我更像是在参加物理竞赛。他没有试图和观众平等的交流和沟通，而是冷冰冰的把这些庞大的信息量拍在了银幕上，你还没嚼透上一句话，下一句话又紧跟塞了进来。所以最后我带着一肚子问号走出影院的时候，我不禁感叹，做个观众太难了，这道题我不会。当然，如果你喜欢被虐，那你会喜欢这部电影的。
56,概念不新鲜，刘慈欣的《坍缩》已经写过，呈现出来也并不惊艳，因为概念只是被利用来营造视觉奇观，烘托商业场面。最要命的是人物和人物关系也很无聊，如果说《盗梦》和《星际》还有强烈的情感内核，这个片子的主角完全就是个工具人。不太喜欢创作者带着一种智力上的优越感，观众走出电影院，你看懂的程度是985，我看懂的程度是211，他写了篇分析长文智商Top2，这不是看电影，这是高考之后的对答案。
57,最大的亮点不是场面和概念，而是罗伯特·帕丁森最后一分钟的古龙时刻——在《敦刻尔克》的结尾，汤姆·哈迪烧飞机也是同样的古龙时刻，看到那种潇洒会让人觉得生活里的琐碎一文不值，但又仿佛照镜子般看见自己的狼狈。整个一百五十分钟，有感情的就这一分钟。
58,"诺兰用电影告诉你服用LSD的感觉。
TENET不应该直译为“信条”，看完你会觉得这片应该叫”天呐天” lol
@cgv明洞 "
59,给诺兰三星，其实就是零分了。一部他序列中倒数的作品，又或许是时候重新审视他一直以来是否都被“过度神话”。与其说“烧脑”，其实是“绕脑”，把概念、情节线索强行复杂化却又一直只在表层兜圈子，最终出来的效果就是异常割裂式、景观运动表象式的呈现。科幻电影中的“时间之谜”，令人着迷的其实是谜面建构过程中对“人之所以为人”的反观（如《降临》）。而诺兰在这部电影中所做的，如同帕丁森的角色一般，早已得知谜底后不断在时间逆流里往回揭露，但却困顿在了自己设下的谜面中，全然失去了以往的精巧、偶尔闪现的诗意。不得不吐槽黑帮总裁与贵妇这条支线，写得令人窒息——以往在电影院看诺兰能感受到的些许震撼，这次变成了尴尬得震撼。
60,"D / 回家路上问了自己三个问题：
①这150分钟里除了五方之外有没有任何一个值得记住的镜头或者任何一刻力量感的显露？答案是没有，所以为了五方加一星。
②难看的动作戏倒放一遍会不会变好看？答案是依然不会好看靴靴。
③诺兰自己信不信“不要试图理解它，去感受它”？我觉得他在最后时刻嗑两个男主的CP时应该是信的。
几乎在用每一分钟告诉你：我导演能力有多差，我的视听与文本如何脱节，我的叙事如何没有节奏感，我的人物如何干瘪空余耍酷的姿态，我的概念如何只能以最机械的方式推进展开。
全片就是：捉，襟，见，肘，四个大字。"
61,只能算看过，好比小时候看了一眼奥数题，然后交了一张白卷给老师。
62,为了看懂这部片贡献了三张电影票，蹩脚的幽默，扭曲的情感，过大的自我，每一场的观感都很差，三星给在诺兰将一个概念很好的实现了出来，除此之外也没什么可说的了。
63,"太失望了，最差的一部诺兰。
如果一部电影只是为了讲一个物理学猜想，那它只是《走近科学》，蹩脚的故事，蹩脚的人物，蹩脚的情感，看得我满头问号？
故事完整性甚至不如《终结者》。"
64,怎么讲，理解剧情确实要废一些脑子，但问题是，整部电影里没有一个人物可以让我 care enough to 动脑子…… 
65,看完零点场又去看早场，实在太失望了。摆好了凌驾观众的姿态之后，却充分暴露了诺兰只能用高密度台词解释高概念、戏与戏衔接节奏太赶的弱项，以背离基本叙事为前提，不顾连带的更多外部逻辑和因果漏洞，这才促成了所谓的烧脑和看不懂。在跟歌剧院观众一样被前两场戏催眠在座椅上之后，看到的却是视觉和动作的设计还不如普通间谍片，反派夫妇傻得可笑，技术被用于大量无效的场景。我做好了看不懂的准备，没想到越剖析越发现是空的。
66,其实是失望的：结构上没有做出大回文的流畅和惊艳，人物上想看帕丁森和主角的关系再深挖深挖，造型上时间的逆转没有空间的折叠那么直观明了，不是观众没看懂是导演真的没讲清楚，完成度和《盗梦空间》没法比。最后打光师可能不太会给非裔演员打光，好多处都努力试图看清男主的表情。奥斯陆自由港那场戏不错。
67,相信祖父悖论的人该如何进入这部电影？只靠一句what happened has happened这样的临别箴言？我不相信人的意志选择不会因对未来的参透而发生动摇，《降临》其实已经讨论过这件事了。诺兰不应该只醉心于物理学，也须花点时间选修一门心理学。
68,“去感受”，感受啥啊请问？！
69,虽然我从最后1小时就看不懂了但我也决定再也不尝试弄懂它。不思考不好奇不关注，看完就忘，不惯诺兰的臭毛病。
70,我觉得失望是来自于你终于发现诺兰很难再达到《盗梦》时期的天才级创意执行，有很多地方让人感觉概念有余，劲道不足。这场一如既往风味的诺兰式致命魔术很难让人拍手称快，甚至反而有点令人坐如针毡。
71,这是一辆没有乘客的过山车，我们透过镜头看这辆过山车翻转腾挪，但内心毫无波澜。
72,"寒风晓日映沙滩，日影沙滩竹报安。
安报竹滩沙映日，滩沙映日晓风寒。
       这叫回文诗，这样的诗我们有好多。诺兰导演你喜欢吗？"
73,最棒的部分是音乐。很多细节、台词和动作有一种莫名其妙想幽默但又没成功的囧劲儿。诺兰算是拥有斯德哥尔摩综合征影迷最多的导演了吧？
74,"2.5；在「时间」主题的探索路上越走越远&偏，宛如未来和过去的镜像互照，回文叙事的结构依旧花了心思。时间的正向推进与逆序流动，更让我想及《记忆碎片》的演练模式，然而这次诺兰几乎是放弃“电影观感”，而以高强度的密集信息快速塞入观众脑海，以一种几乎是强迫症式的“炫技”让观众上了一堂颇有难度的高精尖物理课，评价分化实属正常---反正于我，并未享受到观影的乐趣。

弊端其实在系列前作中已有显现：大量科学名词的直白解释（所谓烧脑更多源于专业知识的匮乏）；动作戏的杂乱无章；人物情感的高度模式化与强行设定，夫妻戏台词浮夸，反派立足点太弱；如影随形的电子乐与强节奏倒匹配，但存在感委实过强。

或许，抛却这些高概念，压缩一下拍部谍战片更精彩。"
75,脑海飘过四个大字——“没 有 必 要”
76,诺兰如果想要成为一代宗师，最迫切的应该是先治一下厌女。
77,感觉不是烧脑，是没有新意，主人公感觉就像Jojo黄金之风里的阿帕基，不就是能在时空里乱跑吗。。。。。。另外，三木孝浩那个《明日的我与昨日的你约会》感觉也就是这种东西。对不起，诺兰。。。。。
78,俗烂的剧情，不就通关升级嘛。没有概念就是八点档大路货。
79,影帝之子の面瘫演技大赏+摄影棚内景打斗集锦+俄罗斯寡头令人心酸的unrequited love+女一踩恨天高送儿子去幼稚园彰显母爱+高台跳水的自由隐喻+大型红蓝两队真人CS+男二夕阳辉耀侧颜煽情+走了几步回头没尽兴再煽一次（可能有遗漏那是因为我看睡着了小弟尽力了）
80,曾和朋友提及對《星際穿越》的觀感：開頭裝得像Kubrick，看到結尾才發現是陳可辛。Nolan就是如此反差萌，持續在媚俗與裝逼間左右逢源。就像《信條》這般在主題、人物、情感上皆庸俗到爛大街的電影，Nolan又一次依靠視覺奇情和故弄玄虛將你繞暈，令你讚美他很高級。「想像高級」和「自以為高級」，始終是Nolan掩飾蒼白和打造信眾的不二法門。裝逼你確實全世界第一，三顆星給視覺。
81,诺兰不拍片的时候应该多看看电影、电视剧和综艺，这类强设定真的挺“俗套”也挺容易露怯的。
82,二刷，算是把第一遍的疑问给搞懂了。最大的概念无疑来自于100年前卢米埃尔的《拆墙》。除此外整部电影则完全是一部黑人版007。从疯子手中拯救世界，炸毁坏人巢穴，甚至勾搭大嫂，都是典型的007桥段。诺兰把整个逆转时空的题眼放在了最后男主和帕丁森的告别上。他看透了命运的安排，泪送这个未来的朋友离开，是终结，也是开始。
83,那些“顺流逆流”的战斗场面还算有趣，副作用则是破坏了对动作片最要紧的“悬念”。故事和设定借鉴《终结者》+《你的名字》，毫无新意，只是嫁接到了特工题材，把好莱坞的各种俗套更加发扬光大。你们眼中的电影大师诺兰，在我看来无非就是个在电影的末法时代玩弄诡叙的工匠罢了。ps.讨厌一切靠“duangduang”的音效强行带节奏的叙事，蠢。
84,"就目前的观感来说，是诺兰最差。不太明白诺兰为何在敦刻尔克之后拍出这样的电影，像是在硬着头皮成全自己拍谍战片的心愿(前半段对这一类型语境的拙劣模仿导致节奏过分拖沓)，同时也抛弃了之前惯用的结构手法，使得电影本身也像是一个熵增熵减同时发生的混乱体系。当然动作戏是好看，但与此同时文戏水准真的是诺兰新低啊。不过或许可以说诺兰创造出了另一类游戏玩家式电影，一个不断复活的无名无姓者(赋予观看者命名权也即使之成为超越性的人物-所谓的""protagonist"")执行阻止邪恶大反派毁灭世界的任务，而所有npc的命运/功能似乎都一目了然。"
85,一旦牵扯所谓的高概念空想，诺兰立即丧失电影整体意识，回头看来，《敦刻尔克》像个意外。场面调度与蒙太奇构建是否称职，十多年来部部绞尽脑汁的设计把玩却依然粗暴生硬的第三幕平行剪辑说明一切，高潮戏灾难级的混乱脱缰造成一个全盘失衡的共振垮塌——只有零散的碎裂局部，动作和空间被强行捆绑整合。将最浅显的视听骗术包装成最曲折的通俗叙事，编码解码是他的原罪，其沉迷的只是煞有介事与控制欲，他无法离开好莱坞。并未看到坚持实拍带来的积极价值，物理特技十分糟糕，逆熵奇观不经意间竟形成了对实拍的某种嘲讽。华盛顿的主角融肖恩·康纳利的风流彪悍与罗杰·摩尔的优雅俏皮，却逐渐倒退为一个总是晚一步的机械的后觉者，人物让位给了扭桥，黑人邦德只出现在了末尾的车里。或许终归是成为不了大师的庸才，他在作品中痴迷的所谓科学永远是神学。
86,从成果上说很平庸啊，没有一个人物是成立的，人性在诺兰搭建的这个世界里似乎消弭了，这片子人跟人之间所有的动作都很虚假，比如女主一直强调儿子，船上丈夫提到儿子两次，诺兰连个焦点都没给女主，个人认为是极度糟糕的处理，因为作为观众，诺兰的技术狂欢感太强烈，沉迷解释概念，却忽视了很多不可被解释的事。对话又苍白无趣，人被处理得特别虚伪又虚弱。我觉得这个还挺糟糕的。人们去想象未来的世界科学和物理的变化，去放大外部和他者，却忘记了挖掘自身的可能性，说是本末倒置不过分吧。不过从电影精神来说，我给诺兰五星，这个世界需要勇敢的人，诺兰无疑是，李安是。这个世界上有这样的导演，本身倒是一件蛮温柔的事。
