,username,vote,review,rating
12,陀螺凡达可,1381,诺兰在新片中又玩了一次“魔术三步骤”，把视觉奇观和超高速的叙事节奏作为障眼法，掩藏住了那些本该显而易见的伏笔，到了后半程才逐一揭晓。看完电影才发现片名的精妙之处，整个叙事结构也是TENET式的，这个太妙了。整体类似于《盗梦空间》，用007、碟中谍式的间谍动作类型元素为“量子逆转”的科幻概念做框架，至今仍然高度保密的全片高潮戏我是张着嘴看完的。,4
13,桃桃林林,731,就像《盗梦空间》用多重梦境重构侠盗片，信条》则以时间逆转的方式赋予特工片新的可能。其实回头看，剧情并不特别复杂，包括矛盾构成也很常见。但引入时空逆转概念之后，结构上的花样就更多了，会有意误导观众，就有意思了。此外，本片是典型的高密度叙事，信息量极大，剪辑又很跳，这种强叙事密度，让观众一开始完全没时间去思考和理清思路，所以才会觉得难懂。而最后，影片又一次注入情感元素，煽情一把，也是很诺兰了。另外，帕丁森、华盛顿、德比齐的表演，也为本片增色不少。喜欢这种实拍的硬，是特效无法带来的体验。,4
14,同志亦凡人中文站,675,大！脑！在！燃！烧！时间的顺流和逆流都不稀奇，但把顺流逆流放在一起组成时间的咬合状态并利用之——这就是诺兰牛X的地方了。太多隐藏在细节中的魔鬼，就像一场信息量的核爆，想说剧本写得这么繁复究竟有没有必要？（我看电影不是为了爆炒脑花啊魂淡）,4
15,无耻不混蛋,4481,150分钟的电影，前面至少120分钟都挺无聊且沉闷的。不要因为是诺兰，就豪吹，跟看不看得懂没有任何关系，电影不好看就是不好看。埋再多的所谓“暗叙事”、玩再多的结构与技巧，也依旧不好看。在我看来，呈现出来的效果，跟李安的《双子杀手》几乎一样。人物都是工具人，看上去不明则厉，实则无趣。影片全程去掉配音，试试看，你就知道有多失望。,3
16,放猪之刃,1489,不用害怕看过《TENET》的人跟你剧透，因为他们也不知道该和你剧透些啥。,5
17,节拍器,811,从敦克尔克开始诺兰搞男同性恋越发纯熟了,5
18,十二辰,555,人类最大的想象力，不过是对空间和时间的玩弄。但借由影像在这种贫乏又不可捉摸的想象力里开出具象的花，不得不尖叫着呐喊一句：我的诺神又回来了！！！,5
19,室内滂沱,269,在“时间倒流该多好”的一年，看了这么一部时间痛痛快快倒流的电影，可以说是获得了今年最大的安慰，再一细想，过去最好的梦几乎都是诺兰给的。剪辑师和配乐都换了人，直观感受与从前的诺兰都不一样，终于等到他大规模改变自己语法的一天，也是他至今最阳刚的电影，各种军事装备，肌肉卡车，俄国恶汉，正邪双方的对立十分直爽，没有他过去的“不可靠叙事”。与此同时主角还是盗画的“雅贼”，跨国执行任务顺带展现多国旖旎风光，从最流行的动作片模式里找全新的玩法，诺兰但凡想拍哪个类型，都是奔着“超越”而去。《记忆碎片》的倒转时光，《致命魔术》的“恢复原样”，如果世界是正的，我偏要倒着走，在我决定正着走时，全世界都是我的逆流——诺兰的主角喜欢俯瞰大多数人按部就班的生活，他的反叛性比片中配乐和种种大爆炸还要提气。必须影院看。,5
20,Cheng,5198,无聊到根本不想去深究。,2
21,PREP,456,我虽然没看懂但我绝对不能打三星,4
22,brennteiskalt,1322,诺兰在反人类的“Tenet”中展现出他的技术霸权主义倾向。这种机械性的思维首先体现在他对时间的天真理解上。自柏格森以来我们就知道，空间化了的时间并不是真正的时间，而诺兰似乎只知道用逆转了的动作来展现时间的倒流，他大力打造的特效运动于是实则取消了电影的每一丝时间性。二是他机械性地拼凑着他的叙事体，却对叙述这一最为时间性的动作视若无睹。只顾填鸭式地甩出一个个细节性的名词，却连基本的叙事原则都完全放弃。这也正是他第三个机械性的地方：无论这一套时空规则在物理学上看上去有多么精致，在时间与人类交接的哲学问题上他却较以往更加苍白。时间颠倒而产生的逻辑问题以及因果倒置后对顺时生活的人类有什么影响，他丝毫不感兴趣。这一切不由得让我祈祷，有朝一日科学家真的研究出颠倒时空的技术之后，坐在按钮后面的千万不要是诺兰本人,1
23,Liefmans,5355,我不配给这个电影打分 真的 我连影评也没看懂,1
24,羚羊的灵魂,2525,愈发能感觉出诺兰是一个很自恋的导演，且时刻散发着优越感（没错，他狮子座，这导致他掉进了自己的逻辑怪圈无法自拔。他不是用多好的故事征服你，而是用自己超凡脱俗的逻辑能力绕晕你，甚至让我萌生出被他踩在脚下的压迫感。他之前的几部同类型“烧脑”片其实还有所收敛，这一部就有点放飞自我了，通俗地说，对我等凡夫俗子太不友好了。是的，他的逻辑能力满分，我很佩服且自愧不如，但是我没办法从中感受到看电影的乐趣了，而是倍感折磨，因为我更像是在参加物理竞赛。他没有试图和观众平等的交流和沟通，而是冷冰冰的把这些庞大的信息量拍在了银幕上，你还没嚼透上一句话，下一句话又紧跟塞了进来。所以最后我带着一肚子问号走出影院的时候，我不禁感叹，做个观众太难了，这道题我不会。当然，如果你喜欢被虐，那你会喜欢这部电影的。,3
25,夏小時,2899,时间逆行的概念本身不新，烧脑的是不讲人话的表达方式。诺兰为了炫技牺牲了故事和人物，观影体验非常差。老套的拯救世界的故事，但没有一个角色有足够的驱动力，都只是在模板化地跑剧情，唯一动机有说服力的竟然还是反派。本质动作片，可动作戏不太行，混音太吵，节奏也很闷，没有转折和高潮，两个半小时很疲惫，一直在看表。一刷能大致懂诺兰的叙事目的，我也相信他的故事一定能逻辑自洽，N刷可以理清时间线和细节，但一刷的观影快感太低了，完全支撑不起我N刷的欲望。个人来说，我觉得是诺兰电影里拍得最差的一部。,2
26,萨库拉,1961,概念不新鲜，刘慈欣的《坍缩》已经写过，呈现出来也并不惊艳，因为概念只是被利用来营造视觉奇观，烘托商业场面。最要命的是人物和人物关系也很无聊，如果说《盗梦》和《星际》还有强烈的情感内核，这个片子的主角完全就是个工具人。不太喜欢创作者带着一种智力上的优越感，观众走出电影院，你看懂的程度是985，我看懂的程度是211，他写了篇分析长文智商Top2，这不是看电影，这是高考之后的对答案。,3
27,鲸鱼君,448,当年影迷们为《盗梦空间》冠以的“烧脑片”同样适用于此。在这部电影里，当下的时间和逆行的时间在同一个空间里相遇，就像两股不同方向的河流，彼此看对方都是相反的，时间成了一个事物自身的属性，一旦汇聚必然倒行逆施。所以，电影呈现出一幕幕奇妙的状态：原本成为碎片的楼房瞬间复原，但又一次被炸毁；子弹从弹孔弹回到枪膛里，同样具有杀伤力；当下的自己在跟过去的自己打架，而那个过去的自己的动作还是反过来的。这种感觉就像当年看到城市翻转折叠一样，是相当新奇的。九国取景，场景分外眼花缭乱，枪战动作戏让视觉效果丰厚起来，忽大忽小的另类音乐更是大加分。建议看完后再看一遍，不然真的有可能会绕蒙。,4
28,鬼腳七,366,非常诺兰，非常符合粉丝口味。在一个复杂逻辑下讲述的逆熵故事，而且诺兰仍然拒绝解释，观影门槛比以往更高 ，甚至于它根本不烧脑，而是颜面暴击直接把你锤懵。在表故事的单纯和里故事的晦涩之间，诺兰找到了足够的空间来放那些奇观化的动作戏，顺便嘲讽观众“看不懂就睡一觉”，挺欢乐的。（配乐加分（德比茨基的头身比真的吓人,4
29,幻龙炎,236,能不能麻烦诺导把2020年倒回头重拍一遍先？,5
30,JIN,254,土澳提前场，社交隔离的影厅终于看到近半年最多的观众 #感谢诺神重振大荧幕# 惊艳MIND-BLOWING！凌厉谍战+轰鸣煽动配乐中迅速构建全新世界观，又悄悄埋下多重伏笔，正反序飙车搏斗戏神奇同框，高潮大战顺逆双向时空交织逆转，瞠目结舌！最终首尾连成完美闭环，一如片名回文TENET，双男主友谊的起点又是终点，重逢亦永别。叹服于诺兰竟能把时间熵逆、祖父悖论等概念如此创新演绎！主演们表现精彩，肯尼爵秀满口音技的莎剧式反派太有魅力。艺指摄影剪辑配乐特效俱佳，奥斯卡级别品质保证！,5
31,药师,1291,最大的亮点不是场面和概念，而是罗伯特·帕丁森最后一分钟的古龙时刻——在《敦刻尔克》的结尾，汤姆·哈迪烧飞机也是同样的古龙时刻，看到那种潇洒会让人觉得生活里的琐碎一文不值，但又仿佛照镜子般看见自己的狼狈。整个一百五十分钟，有感情的就这一分钟。,3
32,e|理智型神经病,1058,"诺兰用电影告诉你服用LSD的感觉。
TENET不应该直译为“信条”，看完你会觉得这片应该叫”天呐天” lol
@cgv明洞 ",3
33,alain.proust,1760,就，毕生致力于全民物理通识教育事业的科普作家刘慈欣老师都写不出这样毫无感染力的故事来。,2
34,你们可爱的杜11,236,你以为你看懂了50%，实际上你只看懂了5%,5
35,乌鸦火堂,319,诺兰有史以来最硬核的作品，也是最严谨最难以言状的时间旅行电影。未来救过去的故事，但没有时间机器，遵循热力学熵增定律，只不过这次玩的是熵减。如果说盗梦是梯形时空，那么信条就是“时间回路”，在同一空间内，正向和逆向两种时间线并存。通过转换，让角色逆行时间，逆向子弹，埋给过去自己的时间胶囊，正逆部队双方大战，初看一头雾水，但仔细琢磨，严苛的逻辑让人佩服的五体投地。瑞典作曲家路德维希·格瑞森的音乐超赞，电影信息量极大，二刷观感更好,4
36,徐若风,840,给诺兰三星，其实就是零分了。一部他序列中倒数的作品，又或许是时候重新审视他一直以来是否都被“过度神话”。与其说“烧脑”，其实是“绕脑”，把概念、情节线索强行复杂化却又一直只在表层兜圈子，最终出来的效果就是异常割裂式、景观运动表象式的呈现。科幻电影中的“时间之谜”，令人着迷的其实是谜面建构过程中对“人之所以为人”的反观（如《降临》）。而诺兰在这部电影中所做的，如同帕丁森的角色一般，早已得知谜底后不断在时间逆流里往回揭露，但却困顿在了自己设下的谜面中，全然失去了以往的精巧、偶尔闪现的诗意。不得不吐槽黑帮总裁与贵妇这条支线，写得令人窒息——以往在电影院看诺兰能感受到的些许震撼，这次变成了尴尬得震撼。,3
37,寒枝雀静,782,"D / 回家路上问了自己三个问题：
①这150分钟里除了五方之外有没有任何一个值得记住的镜头或者任何一刻力量感的显露？答案是没有，所以为了五方加一星。
②难看的动作戏倒放一遍会不会变好看？答案是依然不会好看靴靴。
③诺兰自己信不信“不要试图理解它，去感受它”？我觉得他在最后时刻嗑两个男主的CP时应该是信的。
几乎在用每一分钟告诉你：我导演能力有多差，我的视听与文本如何脱节，我的叙事如何没有节奏感，我的人物如何干瘪空余耍酷的姿态，我的概念如何只能以最机械的方式推进展开。
全片就是：捉，襟，见，肘，四个大字。",3
38,邓安庆,679,只能算看过，好比小时候看了一眼奥数题，然后交了一张白卷给老师。,3
39,桑德,462,疲了,2
40,晚上假扮王祖贤,515,为了看懂这部片贡献了三张电影票，蹩脚的幽默，扭曲的情感，过大的自我，每一场的观感都很差，三星给在诺兰将一个概念很好的实现了出来，除此之外也没什么可说的了。,3
41,晚不安,453,不好看。不喜欢。诺兰似乎抛弃了自己的“传统美德”，即在构建精密的结构之余，让观众能够充分理解；而却放大了自己的弱项，堆砌冗长且粗野的动作戏。情感内核其实跟所有涉及时间旅行的电影并无二致，只是冒进的节奏和聒噪的配乐没有给到任何喘息的空间。撑过整整前半部，才看到一点点正逆向对决的惊喜，哪还有心气和脑力去钻研每一处细节。——一个事实是，没有什么电影必须看第二遍，诺兰的作品也不例外。诚然，卢米埃尔的《拆墙》(1896)之后，《信条》就不再有令人惊奇的理由。,2
42,阿斯巴-甜,342,《电影手册》回顾过去十年的电影总结说电影行业像如同驶入夜色的列车那样有种隐灭之感，在这半年的疫情冲击下，这列车也从绿皮变高铁。万众期待着诺兰能够刹住这一远去的列车，但可惜反成了加速师。在影院里的视听感受不如《1917》，能夸的就只剩口中的烧脑了，但以烧脑来夸赞一部电影，就好像美女科学家这个称呼一样，纯粹是客套话了（甚至是骂人）。想烧脑可以多做数学题，小学奥数应该就够了。观众的反应让我想起《皇帝的新衣》,2
43,小念头小情绪,491,"太失望了，最差的一部诺兰。
如果一部电影只是为了讲一个物理学猜想，那它只是《走近科学》，蹩脚的故事，蹩脚的人物，蹩脚的情感，看得我满头问号？
故事完整性甚至不如《终结者》。",3
44,维城乱马,303,诺兰的片子有个最大好处是配乐足够恢弘磅礴，只要音量开得足够大，我就可以听不到周围的那几条观众评论音轨～,4
45,LOOK,325,纯高概念游戏电影，甚至连电影都算不上，就是游戏。烧脑的部分是游戏规则，你可以说这款游戏的规则设定很厉害，掌握了、洞悉了以后看这帮人折腾来折腾去挺爽。但这和一部电影好坏真的一毛钱关系都没有。,2
46,李小丢,281,还是值得一看，不过抛开看似花哨的理论，男主可真是诺兰电影历史上最单薄最工具人的主角了，看了两个多小时以后，观众对他的性格、行为动机、世界观等还是一无所知。他无爱无恨，无欲无求，甚至没有过犹豫，彷徨和疲惫，对一切都很笃定，身上没有一点儿人味儿，就像是粗暴的天降黑人上帝，只有他能拯救全人类于水火。他拯救白人妇女和儿童，还有白人嫩牛五方兄弟为他两肋插刀。他拳打俄国恶棍，脚踢印巴军火商。很政治正确，正确到有点高级黑的地步。,4
47,九只苍蝇撞墙,717,即使在诺兰自己的作品里也可以称的上是最蠢了。想想雷乃和罗伯格里耶如何在60年前的马里安巴德以轻盈飘逸的姿态在同一个空间里于过去、现在和未来之间往复无痕穿梭，所谓的“信条”真是笨得像铁杵绣花。在“时间-影像”的最后一章德勒兹认为只有反吸引力和非信息化的电影才能在未来生存下去。从这个角度看，一向标榜自己爱电影胶片的诺兰是在用脱轨的吸引力奇观和狂乱堆积的信息为电影掘了一个自我毁灭的大坑。无限趋近于零蛋的两个小时观影体验。,1
48,明安,397,怎么讲，理解剧情确实要废一些脑子，但问题是，整部电影里没有一个人物可以让我 care enough to 动脑子…… ,3
49,Lycidas,353,70mm @DP w/ 草草 echo jakob 如果能通过所谓的逆时间线阻止诺兰拍出这部片，那就还挺好的。（看啃泥顶着一张神似韦恩斯坦的脸pua老婆真的physically repulsed,1
50,帝月,449,优越感满满的装逼惯犯。好莱坞最被overrated的导演没有之一。,1
51,蜉蝣,426,看完零点场又去看早场，实在太失望了。摆好了凌驾观众的姿态之后，却充分暴露了诺兰只能用高密度台词解释高概念、戏与戏衔接节奏太赶的弱项，以背离基本叙事为前提，不顾连带的更多外部逻辑和因果漏洞，这才促成了所谓的烧脑和看不懂。在跟歌剧院观众一样被前两场戏催眠在座椅上之后，看到的却是视觉和动作的设计还不如普通间谍片，反派夫妇傻得可笑，技术被用于大量无效的场景。我做好了看不懂的准备，没想到越剖析越发现是空的。,3
52,踢迩达,333,其实是失望的：结构上没有做出大回文的流畅和惊艳，人物上想看帕丁森和主角的关系再深挖深挖，造型上时间的逆转没有空间的折叠那么直观明了，不是观众没看懂是导演真的没讲清楚，完成度和《盗梦空间》没法比。最后打光师可能不太会给非裔演员打光，好多处都努力试图看清男主的表情。奥斯陆自由港那场戏不错。,3
53,星随心走,342,不管看懂多少，反正不想看第二遍，能看完一遍都需要点耐心,1
54,bwsowo,246,看完后，本来坐下楼的电梯，结果坐反了，,5
55,LORENZO 洛伦佐,222,"荒谬之下你我在最美的时候相遇。正反双打拍的很妙，但毕竟是悖论，逻辑上无法自恰于是从头到尾都在突突突，文戏寡淡，女主那么多戏份比不过帕丁森的一个回眸。可能是今年院线商业片之光了。*乱世拜信条* 

A：最好的时光遇见你
                                    你见遇光时的好最：B",4
56,嘟嘟熊之父,333,相信祖父悖论的人该如何进入这部电影？只靠一句what happened has happened这样的临别箴言？我不相信人的意志选择不会因对未来的参透而发生动摇，《降临》其实已经讨论过这件事了。诺兰不应该只醉心于物理学，也须花点时间选修一门心理学。,3
57,Muto,150,除了经常把自己的电影神秘化（去时间性）之外，诺兰也是被影迷严重神秘化了的一位的导演。讽刺的是，他大热大卖的几部作品在叙事结构上完全没有秘密可言。在看《杀戮》的时候就在想，这不就是《盗梦空间》吗？从《致命魔术》开始，其中包括《星际穿越》和《敦刻尔克》以及《信条》在内，诺兰就一直在模仿但从未超越库布里克的偷盗故事模式：游戏开始——介绍规则——布置任务——招兵买马——执行任务——完成任务——游戏结束。因此，可以说他的电影本质上是披着科幻外衣的黑色电影：一切都是白折腾。然而诺兰却总喜欢让他的主角以为自己最终赚到了什么，于是观众也如那枚陀螺一样，在这样的套路里永恒转了下去。对比大师，就知道诺兰距离大师有多遥远。去看看《杀戮》的结尾，那才叫真正的时空逆转。,1
58,张天翼,274,“去感受”，感受啥啊请问？！,3
59,qw0aszx,286,"就不说角色写的有多无语了（特别是反派），台词居然能写出""cold war, cold as ICE""、""if I can't have you then nobody else can""等等这种令人笑喷级别的对白，你说是汤米威叟写的我都信。同时，在人物与情感编写缩水后毫无疑问放大了视觉上面的奇观呈现，这也显现出很严重的问题：本片视觉奇观呈现效果其实很低。除去一贯诺兰的往大做外，这次很大主要建立在于时空倒转后的“倒放”，当然单纯的倒放并不能带来太大的奇观性质，所以设计了不少正逆时间同画面的场面，并且还为这些段落进行了不少的训练以及编排。然而诺兰一贯糟糕的动作戏把控设计，加上这次凌乱的剪辑，直接让呈现出来的效果一团糟，很多镜头根本没有让观众来得及去仔细辨别一正一反同屏的效果就直接跳过，让现场编排的动作彻底白费，奇观性质的呈现效果大幅度削弱……",2
60,王大盆,297,虽然我从最后1小时就看不懂了但我也决定再也不尝试弄懂它。不思考不好奇不关注，看完就忘，不惯诺兰的臭毛病。,3
61,大奇特(Grinch),192,就是《东成西就》“三花聚顶”的高概念演绎，之后在自由意志不可逆的前提下做的一个规定命题。叙事碎片化，更适合写成小说而不是影视化改编，高密度强制性向观众上课的心理，就是解释性的内容太密太直白，全都是说明书，缺少电影的造梦感和应有的戏剧张力。,2
62,三十,318,我觉得失望是来自于你终于发现诺兰很难再达到《盗梦》时期的天才级创意执行，有很多地方让人感觉概念有余，劲道不足。这场一如既往风味的诺兰式致命魔术很难让人拍手称快，甚至反而有点令人坐如针毡。,3
63,天马星,114,妈呀，也太烂了吧，一具玩弄华丽高概念而失去灵魂的躯壳，即使铺满打鸡血般的音乐，动作场面也像菜鸡互啄一样毫无波澜，文戏也空洞得可怕，男主和女主的感情莫名其妙毫无化学反应，反派弱的一批又爱加戏，基本就是诺兰所有缺点集大成之作。,1
64,爱与污秽凄苦,228,？这还怎么继续吹？就这么喜欢承认自己智商低而不觉得是诺兰叙事真的有问题？全程看得我莫名其妙，一堆高大上的术语怼在脸上，一句话还来不及消化就紧接着下一句，游戏升级通关做任务一样，场景地点蹭蹭蹭地换，最后那一场大战真是看得我没耐心了，不断重复毫无意义的打斗画面，一堆人抽风一样倒着走，在很长一段时间内，这些画面除了炫酷拽之外，没有对叙事产生任何作用。这样的电影，既不会看的当下让我觉得“爽”，也不会让我在看完后有回味的欲望，过程中我几乎半个小时就看一次表，到最后五分钟一次，没有中途离开我真的已经尽力了…,2
65,陆支羽,212,4.0。1.这可能真的是诺兰有史以来最难解读的一部电影；从一刷的懵懵懂懂，到二刷的似有所悟，再到三刷的醍醐灌顶，诺兰再次用实力证明，他在时空概念上的攀越让他无愧为遥望巅峰的造梦者。2.这绝非《盗梦空间》的穿越式延续，而更是《记忆碎片》的交织式延宕，正叙倒叙+正向逆向，繁复并进又首尾勾连，如片名TENET形成命脉交融的套环。3.男主通过红蓝传送门进入逆时空那一刻的“风鸟水船”的奇观，相比以往诺兰电影中的华丽造境，有着更为细密的血涌与呼吸。4.帕丁森对男主的那场遗愿般的告别，是全片最为触动心扉的时刻。,4
66,焚紙樓,184,新瓶裝舊酒。本該高概念的高光卻徹底沿用舊科幻的舊敘事法，致使視覺表達樣樣都成陳腔──子彈逆行看上去不過是一顆地雷、滑翔傘逆行看上去不過是一套噴射背包、時間逆行看上去不過是另一臺TARDIS、汽車逆行看上去是……不對，就是單純的倒車（這幕蠢斃了）。而且所有人講話都在打啞謎是怎麼回事？是企圖用晦澀感給觀眾虛構出不存在的深刻，亦或只是諾大導演在彌補自己當年沒拍成謎語人的遺憾？,2
67,NullPointer,91,就没看过这么稀烂的时间类科幻片。宣传说烧脑，大概是一边看一边尝试让这电影逻辑自洽会烧吧。但我放弃思考后，尝试感受，但在世界毁灭阴影下所有人无动于衷，只有一个尝试杀夫的妻子的愤怒，因为她无法和自己的儿子在一起，她也一点不担心自己儿子要面对的将毁灭的世界。有史以来最毫无人性波澜也没有情节波澜的世界毁灭故事，全场带给我最多体感的是4G厅的座椅，完场后全身酸痛。,1
68,亵渎电影,92,诺兰的电影作者化风格非常强，他就像是时间的管理者，这部新片依旧非常的烧脑，观影过程中看似好懂，但当五方最后那句台词一出来，故事立刻变得烧脑起来。【信条】就像一集豪华美剧的首播集，挖了一个巨大的坑，在时间里穿梭的故事线让人想到Netflix第一神剧《暗黑》，有着一样的时空悖论和错综复杂的时间线，烧脑也是源自这其中的时间线和人物身份。一部电影演完了，结果你发现这才是信条宇宙的起点。诺兰套用了007电影的模式，演员嘴里科普着科学原理，还带着诺兰标志性的英式幽默，这些台词就是解释一下关键场景所需的叙事逻辑，对观众来说就是不明觉厉的观感，而类型套路也没有时间让主角思考，叙事只是快节奏的一路往前推，能不能消化就是电影结束之后的事情了。诺兰的电影，好玩的就是解读它如何烧脑，又到了广大网友秀学识和智商优越感的时间！,4
69,谢飞导演,83,        我不是《盗墓空间》的粉丝，看这部诺兰导演并不成功的新作，更是一头雾水，完全入不了戏。豆瓣上看了许多多刷观众的解析才明白了些内容。听说在国内市场上票房还有4.5亿，说明它还是有受众的。但我是很失望！,2
70,mumudancing,84,挺有意思但没有打动我，周星驰的《月光宝盒》是不是讲得更好？,4
71,草威,108,太奇怪的观影体验。诺兰真的走火入魔了，这些年他把前沿物理的那些概念挨个编了个故事，但这回编的已经和故事和人物没有什么关系了，他就是想展示一下他给大家准备的新把式。同行的老梁睡得非常香，像在床边摆了一本物理书。,2
72,浪迹天涯的柚子,168,"我总觉得罗伯特帕丁森那句“我们开头见”，是让我二刷的意思……
在过去经历宿命般的结局，在未来发现我们故事的开始
see you at the beginning 
什么浪漫的情话啊",5
73,张小北,199,这是一辆没有乘客的过山车，我们透过镜头看这辆过山车翻转腾挪，但内心毫无波澜。,3
74,水怪,137,犹如坐进了一堂各项细节都极为缜密的诺兰物理速成班，且相较于盗梦和星际更为高阶，很难相信能有观众一遍就能完全理清时间线路。逆向与正向世界交错的视听体验足够新奇。天选之子的反派塑造得更为丰满，救世男主则略微单薄（续集可填充），而屡次以电影救世的诺兰则越来越像是亮明了其未来人的真身。,5
75,梅花牛,78,烧什么脑？设定全都糊过去了，当然烧脑。,2
76,内陆飞鱼,56,还是喜欢的，极简中的极繁，经得住拉片，耐得住推敲。诺兰：我本将心向明月，奈何明月照沟渠，爆米花的世界不少我一个人，我永远不会去惯着观众，顺着他们的喜好走，达成他们的要求，我拍电影先满足个人追求，其次才去满足其他人，至于赚不赚钱，作为狮子座我相信自己的一贯品质和做工。,4
77,冰红深蓝,57,概念和结构压倒一切，诺兰这回是真的一根筋走到底了，用简单的核心设定编织出复杂精细的故事。遵循了谍战类型片的种种俗套，但动作戏和高潮场面却拍得没劲（尽管将倒放这个古老技术用到了极致），人物情感和性格转变在高速剪辑和繁复规则压迫之下自然也就荡然无存。唯有帕丁森的角色立住了，自知宿命却坚持逆行，很容易想到[终结者]和[降临]。时间悖论因果循环的核心也同质于[星际穿越]。对于评分，我比较纠结。一方面，谈到所谓“烧脑”，即需多刷才能完全“看懂”的电影，我更倾向于奥特曼[高斯福庄园]（以写实而意味深长的人物关系、前史、对话与隐晦暗语为重心）和林奇[穆赫兰道]（以梦境逻辑与真实可感的情绪氛围为核心）这两种类型，纯粹理工解谜性质的[信条]并不合我胃口，但在一个方面如此极端且尚有新意的电影，值得四星鼓励。（8.0/10）,4
78,阿德,96,第一遍别指望完全看懂，不二刷三刷甚至四刷，很多细节是整不明白的。整个观影体验大概就是，先被开头歌剧院大战的音响、剪辑和节奏踩点震撼，擦，这视听才是为大银幕而生，幸亏选了IMAX；然后是逆向的子弹（请脑补盗梦陀螺），大致让你理解哦这是个逆向时空的故事，再然后当正向和逆向时空同时出现，再然后各种理论出来的时候，就基本脑子跟不上诺兰了。关键影片的节奏还很快，基本没有过多的感情戏，但追车、飞机撞大楼等各种动作场面都很带感，尤其是正向和逆向的士兵同时对战的战争场面，简直看呆了，这是正放和倒放同时在一个镜头里吗？？结尾可能会为罗伯特帕丁森动情下，但其实你可能啥也没看懂。哦，对，片名TENET好懂的，正向逆向都成立。给大家的观影建议：第一遍尽量IMAX体验极致视听，观影前看看科普向评论。ps：二刷改五星。,5
79,会打呼噜的猪,279,"寒风晓日映沙滩，日影沙滩竹报安。
安报竹滩沙映日，滩沙映日晓风寒。
       这叫回文诗，这样的诗我们有好多。诺兰导演你喜欢吗？",3
